Country Name,Country Code,Access to electricity (% of population),"Fertility rate, total (births per woman)",GDP per capita (current US$),"Life expectancy at birth, total (years)",Region
Finland,FIN,100.0,1.41,50030.877310650096,81.7341463414634,Europe & Central Asia
Fiji,FJI,99.5933609008789,2.7739999999999996,6317.4878527697,67.34100000000001,East Asia & Pacific
France,FRA,100.0,1.88,41631.0907389044,82.7243902439024,Europe & Central Asia
Faroe Islands,FRO,100.0,2.5,64269.704254102806,82.5487804878049,Europe & Central Asia
"Micronesia, Fed. Sts.",FSM,82.099723815918,3.053,3568.291015625,67.755,East Asia & Pacific
Gabon,GAB,93.0356826782227,3.969,7956.6278155868595,66.187,Sub-Saharan Africa
United Kingdom,GBR,100.0,1.68,43043.227816455095,81.25609756097559,Europe & Central Asia
Georgia,GEO,100.0,2.06,4722.78778321766,73.6,Europe & Central Asia
Ghana,GHA,82.3945770263672,3.87,2202.31216442504,63.78,Sub-Saharan Africa
Gibraltar,GIB,100.0,,,,Europe & Central Asia
Guinea,GIN,44.0,4.7,878.599613250501,61.185,Sub-Saharan Africa
"Gambia, The",GMB,60.3,5.218999999999999,732.717513775219,61.735,Sub-Saharan Africa
Guinea-Bissau,GNB,28.6620216369629,4.476,778.349910210043,58.003,Sub-Saharan Africa
Equatorial Guinea,GNQ,67.03250122070311,4.513,10144.1958108456,58.402,Sub-Saharan Africa
Greece,GRC,100.0,1.35,20324.304991781202,81.7878048780488,Europe & Central Asia
Grenada,GRD,95.29198455810551,2.063,10485.9071571796,72.384,Latin America & Caribbean
Greenland,GRL,100.0,2.0,54470.956386425496,,Europe & Central Asia
Guatemala,GTM,94.69546508789058,2.87,4472.89237082577,74.063,Latin America & Caribbean
Guam,GUM,100.0,2.313,35712.5621350321,79.859,East Asia & Pacific
Guyana,GUY,91.8495254516602,2.4619999999999997,6145.8424106799,69.774,Latin America & Caribbean
High income,HIC,99.9973414017083,1.60031137074684,44415.4649667145,80.6561046818993,
"Hong Kong SAR, China",HKG,100.0,1.072,48543.400990573304,84.9341463414634,East Asia & Pacific
Honduras,HND,91.88720703125,2.46,2505.7767518956,75.08800000000001,Latin America & Caribbean
Heavily indebted poor countries (HIPC),HPC,44.625901482200206,4.69865230106283,972.9429143349361,63.1350064011699,
Croatia,HRV,100.0,1.47,15014.0850191716,78.0707317073171,Europe & Central Asia
Haiti,HTI,45.277889251709006,2.935,1435.35175551073,63.66,Latin America & Caribbean
Hungary,HUN,100.0,1.55,16410.187263968302,76.0658536585366,Europe & Central Asia
IBRD only,IBD,97.80895514162908,2.06796020952262,6448.8089238393395,73.4048767291993,
IDA & IBRD total,IBT,87.89260877203291,2.54481191040531,5152.6415908273,71.0717380418743,
IDA total,IDA,58.8914004348505,3.98408863227971,1365.85465109636,64.2478004723441,
IDA blend,IDB,66.7209649464062,4.121254763828491,1756.0396062761301,62.1617501399529,
Indonesia,IDN,98.51,2.311,3893.8464247557104,71.509,East Asia & Pacific
IDA only,IDX,54.9265658689618,3.91595195412091,1170.10560560528,65.30409152196529,
Isle of Man,IMN,100.0,,89108.4281417659,,Europe & Central Asia
India,IND,95.2358551025391,2.222,2005.8630045240302,69.416,South Asia
Ireland,IRL,100.0,1.75,78621.2279310086,82.25609756097559,Europe & Central Asia
"Iran, Islamic Rep.",IRN,100.0,2.137,5550.06095701484,76.479,Middle East & North Africa
Iraq,IRQ,99.9,3.6719999999999997,5834.1662106535205,70.454,Middle East & North Africa
Iceland,ISL,100.0,1.71,72968.7042280499,82.8609756097561,Europe & Central Asia
Israel,ISR,100.0,3.09,41719.7254385703,82.8024390243903,Middle East & North Africa
Italy,ITA,100.0,1.29,34615.7568910987,83.34634146341459,Europe & Central Asia
Jamaica,JAM,98.9332809448242,1.979,5354.2368587703,74.368,Latin America & Caribbean
Jordan,JOR,99.9,2.761,4312.18011672108,74.405,Middle East & North Africa
Japan,JPN,100.0,1.42,39159.4235633952,84.2109756097561,East Asia & Pacific
Kazakhstan,KAZ,100.0,2.84,9812.60140498928,73.15,Europe & Central Asia
Kenya,KEN,75.0,3.492,1707.9868052900301,66.342,Sub-Saharan Africa
Kyrgyz Republic,KGZ,100.0,3.3,1308.14016549619,71.4,Europe & Central Asia
Cambodia,KHM,91.5506744384766,2.503,1512.12670972847,69.57,East Asia & Pacific
Kiribati,KIR,100.0,3.569,1698.2562862673901,68.116,East Asia & Pacific
St. Kitts and Nevis,KNA,100.0,,19276.5212674439,,Latin America & Caribbean
"Korea, Rep.",KOR,100.0,0.977,33422.9442100836,82.62682926829271,East Asia & Pacific
Kuwait,KWT,100.0,2.082,33994.3819171507,75.398,Middle East & North Africa
Latin America & Caribbean (excluding high income),LAC,98.24238995789409,2.04140339623223,8593.741440506541,75.246114048204,
Lao PDR,LAO,97.9198226928711,2.667,2542.4865281792,67.61,East Asia & Pacific
Lebanon,LBN,100.0,2.0869999999999997,8024.803270813871,78.875,Middle East & North Africa
Liberia,LBR,25.9182662963867,4.315,677.322178545363,63.73,Sub-Saharan Africa
Libya,LBY,67.0,2.24,7877.122250618841,72.72399999999999,Middle East & North Africa
St. Lucia,LCA,99.5374984741211,1.436,11357.8890096382,76.057,Latin America & Caribbean
Latin America & Caribbean,LCN,98.33114415441608,2.02738659800382,9092.67862464438,75.4409477532745,
Least developed countries: UN classification,LDC,51.58346078969979,4.00014762499683,1063.16791088601,65.0396241212957,
Low income,LIC,41.9171975776843,4.60430325268313,795.957116426116,63.4963387504082,
Liechtenstein,LIE,100.0,1.58,181402.83002981,83.0414634146342,Europe & Central Asia
Sri Lanka,LKA,99.58340454101558,2.199,4080.56712469552,76.812,South Asia
Lower middle income,LMC,86.2614740017622,2.7650305058467297,2091.3890021073103,68.42246908681561,
Low & middle income,LMY,87.59227754239559,2.55352590635271,5001.68797347782,70.9988194769754,
Lesotho,LSO,47.0,3.141,1221.88376322756,53.705,Sub-Saharan Africa
Late-demographic dividend,LTE,99.41005656587359,1.74205160841993,9838.43404255551,76.22444367907991,
Lithuania,LTU,100.0,1.63,19176.1765182085,75.6804878048781,Europe & Central Asia
Luxembourg,LUX,100.0,1.38,116654.26106674,82.2951219512195,Europe & Central Asia
Latvia,LVA,100.0,1.6,17858.2799784486,74.78292682926829,Europe & Central Asia
"Macao SAR, China",MAC,100.0,1.217,87208.535912643,84.118,East Asia & Pacific
St. Martin (French part),MAF,100.0,1.81,,79.87073170731709,Latin America & Caribbean
Morocco,MAR,100.0,2.415,3222.20063433213,76.453,Middle East & North Africa
Monaco,MCO,100.0,,185829.01796040699,,Europe & Central Asia
Moldova,MDA,100.0,1.262,4233.74343674119,71.808,Europe & Central Asia
Madagascar,MDG,25.907812118530302,4.077,527.501326141803,66.681,Sub-Saharan Africa
Maldives,MDV,100.0,1.87,10276.9328152389,78.627,South Asia
Middle East & North Africa,MEA,96.46889149287641,2.80894791850673,7943.946907282309,74.0889092566827,
Mexico,MEX,100.0,2.129,9686.51378326598,74.992,Latin America & Caribbean
Marshall Islands,MHL,96.35547637939449,,3788.1635937205797,,East Asia & Pacific
Middle income,MIC,92.80229458431678,2.3351765298625202,5478.70354084105,71.8546257820263,
North Macedonia,MKD,100.0,1.496,6088.97244500876,75.688,Europe & Central Asia
Mali,MLI,50.9,5.877000000000001,894.8021868580059,58.893,Sub-Saharan Africa
Malta,MLT,100.0,1.23,30437.221505896203,82.44878048780491,Middle East & North Africa
Myanmar,MMR,66.2645721435547,2.154,1418.1776234719598,66.867,East Asia & Pacific
Middle East & North Africa (excluding high income),MNA,95.8600836283584,2.88716484758457,3970.8482448040704,73.5873582148883,
Montenegro,MNE,100.0,1.745,8846.05652531746,76.77,Europe & Central Asia
Mongolia,MNG,98.1,2.895,4134.98719823511,69.689,East Asia & Pacific
Northern Mariana Islands,MNP,100.0,,23258.675855279398,,East Asia & Pacific
Mozambique,MOZ,31.1,4.852,503.318727177274,60.163000000000004,Sub-Saharan Africa
Mauritania,MRT,44.526912689209006,4.561,1600.87646860561,64.704,Sub-Saharan Africa
Mauritius,MUS,97.46600341796879,1.41,11208.3438184474,74.4163414634146,Sub-Saharan Africa
Malawi,MWI,18.02,4.209,381.25898760108396,63.798,Sub-Saharan Africa
Malaysia,MYS,100.0,2.001,11377.4550023015,75.997,East Asia & Pacific
North America,NAC,100.0,1.7060324848442001,61304.6430190015,78.8868905457275,
Namibia,NAM,53.873874664306605,3.3960000000000004,5495.4289253345205,63.373000000000005,Sub-Saharan Africa
New Caledonia,NCL,100.0,1.97,,77.14878048780491,East Asia & Pacific
Niger,NER,17.6,6.912999999999999,572.427154260028,62.023999999999994,Sub-Saharan Africa
Nigeria,NGA,56.5,5.3870000000000005,2027.77797925505,54.332,Sub-Saharan Africa
Nicaragua,NIC,88.0779571533203,2.404,2020.5519299638102,74.275,Latin America & Caribbean
Netherlands,NLD,100.0,1.59,53044.5324352253,81.8121951219512,Europe & Central Asia
Norway,NOR,100.0,1.56,81734.4655736102,82.7585365853659,Europe & Central Asia
